instance_id,repo,site_id,file,line_start,line_end,is_test_file,verdict,note
scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,site-0001,sklearn/ensemble/iforest.py,120,125,False,unrelated,feature (expose warm_start); docstring
scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,site-0002,sklearn/ensemble/iforest.py,173,179,False,unrelated,feature; __init__ signature
scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,site-0003,sklearn/ensemble/iforest.py,185,190,False,unrelated,feature; super().__init__ kwarg
matplotlib__matplotlib-26020,matplotlib/matplotlib,site-0001,lib/mpl_toolkits/axes_grid1/axes_grid.py,1,5,False,unrelated,import-only hunk (MethodType)
matplotlib__matplotlib-26020,matplotlib/matplotlib,site-0002,lib/mpl_toolkits/axes_grid1/axes_grid.py,7,20,False,bug,_tick_only subscripts ax.axis which may be a method
sphinx-doc__sphinx-8282,sphinx-doc/sphinx,site-0001,sphinx/ext/autodoc/__init__.py,1240,1246,False,bug,format_signature ignores autodoc_typehints for overloads
sphinx-doc__sphinx-8282,sphinx-doc/sphinx,site-0002,sphinx/ext/autodoc/__init__.py,1474,1480,False,bug,same missing typehints condition
sphinx-doc__sphinx-8282,sphinx-doc/sphinx,site-0003,sphinx/ext/autodoc/__init__.py,1882,1888,False,bug,same missing typehints condition
pylint-dev__pylint-7228,pylint-dev/pylint,site-0001,pylint/config/argument.py,99,109,False,related,csv-regex path; secondary to the direct regexp transformer
pylint-dev__pylint-7228,pylint-dev/pylint,site-0002,pylint/config/argument.py,130,136,False,bug,function-rgx hits TYPE_TRANSFORMERS['regexp']=re.compile directly
django__django-12915,django/django,site-0001,django/contrib/staticfiles/handlers.py,1,6,False,unrelated,import (sync_to_async)
django__django-12915,django/django,site-0002,django/contrib/staticfiles/handlers.py,52,57,False,related,missing async method; lines are insertion context
sympy__sympy-20212,sympy/sympy,site-0001,sympy/core/power.py,291,296,False,bug,0**-oo case missing in Pow.__new__
pytest-dev__pytest-6116,pytest-dev/pytest,site-0001,src/_pytest/main.py,109,114,False,unrelated,feature (--co shortcut)
scikit-learn__scikit-learn-10508,scikit-learn/scikit-learn,site-0001,sklearn/preprocessing/label.py,126,131,False,bug,transform of empty array not handled
scikit-learn__scikit-learn-10508,scikit-learn/scikit-learn,site-0002,sklearn/preprocessing/label.py,147,152,False,bug,inverse_transform of empty array not handled
matplotlib__matplotlib-23476,matplotlib/matplotlib,site-0001,lib/matplotlib/figure.py,3023,3028,False,bug,dpi doubled on unpickle (M1)
