reviewer,instance_id,comment_idx,file_original,file_normalized,line_start,line_end,severity,message_truncated,nearest_oracle_file_match,nearest_oracle_site_id,nearest_oracle_distance_lines,distance_bucket,is_round1_hit
gpt-4o-mini,django__django-12915,1,django/contrib/staticfiles/handlers.py,django/contrib/staticfiles/handlers.py,36,36,medium,The condition in _should_handle may lead to incorrect handling of paths if base_url is not properly set.,True,site-0002,16,right_file_distance_gt_10,False
gpt-4o-mini,django__django-12915,2,django/contrib/staticfiles/handlers.py,django/contrib/staticfiles/handlers.py,42,42,high,"The file_path method does not handle cases where the URL does not start with base_url, potentially causing an IndexError.",True,site-0002,10,right_file_distance_4_to_10,False
claude-sonnet-4-5,django__django-13033,1,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,390,390,high,Potential IndexError if regex search returns None or has no groups.,True,site-0001,337,right_file_distance_gt_10,False
claude-sonnet-4-5,django__django-13033,2,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,403,403,high,Potential IndexError if regex search returns None or has no groups.,True,site-0001,324,right_file_distance_gt_10,False
static,django__django-13033,1,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,47,47,medium,W0201: Attribute 'col_count' defined outside __init__,True,site-0001,680,right_file_distance_gt_10,False
static,django__django-13033,2,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,57,57,medium,W0201: Attribute 'where' defined outside __init__,True,site-0001,670,right_file_distance_gt_10,False
static,django__django-13033,3,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,59,59,medium,W0201: Attribute 'has_extra_select' defined outside __init__,True,site-0001,668,right_file_distance_gt_10,False
static,django__django-13033,4,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,128,128,medium,B007: Loop control variable `sql` not used within loop body,True,site-0001,599,right_file_distance_gt_10,False
static,django__django-13033,5,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,160,160,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,567,right_file_distance_gt_10,False
static,django__django-13033,6,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,292,292,medium,W0612: Unused variable 'desc',True,site-0001,435,right_file_distance_gt_10,False
static,django__django-13033,7,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,433,433,medium,W0622: Redefining built-in 'all',True,site-0001,294,right_file_distance_gt_10,False
static,django__django-13033,8,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,670,670,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,57,right_file_distance_gt_10,False
static,django__django-13033,9,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,676,676,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,51,right_file_distance_gt_10,False
static,django__django-13033,10,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,812,812,medium,W0212: Access to a protected member _filtered_relations of a client class,True,site-0001,79,right_file_distance_gt_10,False
static,django__django-13033,11,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,836,836,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,103,right_file_distance_gt_10,False
static,django__django-13033,12,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,840,840,medium,W0622: Redefining built-in 'next',True,site-0001,107,right_file_distance_gt_10,False
static,django__django-13033,13,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,871,871,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,138,right_file_distance_gt_10,False
static,django__django-13033,14,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,877,877,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,144,right_file_distance_gt_10,False
static,django__django-13033,15,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,908,908,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,175,right_file_distance_gt_10,False
static,django__django-13033,16,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,915,915,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,182,right_file_distance_gt_10,False
static,django__django-13033,17,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,931,931,medium,W0212: Access to a protected member _filtered_relations of a client class,True,site-0001,198,right_file_distance_gt_10,False
static,django__django-13033,18,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,948,948,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,215,right_file_distance_gt_10,False
static,django__django-13033,19,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,957,957,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,224,right_file_distance_gt_10,False
static,django__django-13033,20,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,980,980,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,247,right_file_distance_gt_10,False
claude-sonnet-4-5,django__django-13315,1,django/forms/models.py,django/forms/models.py,1357,1357,medium,"Filter result is created but never used, making the validation ineffective.",True,site-0001,1251,right_file_distance_gt_10,False
static,django__django-13315,1,django/forms/models.py,django/forms/models.py,218,218,high,E1121: Too many positional arguments for classmethod call,True,site-0001,112,right_file_distance_gt_10,False
static,django__django-13315,2,django/forms/models.py,django/forms/models.py,471,471,high,E1139: Invalid metaclass 'ModelFormMetaclass' used,True,site-0001,365,right_file_distance_gt_10,False
static,django__django-13315,3,django/forms/models.py,django/forms/models.py,1222,1222,high,E1003: Bad first argument 'ChoiceField' given to super(),True,site-0001,1116,right_file_distance_gt_10,False
static,django__django-13315,4,django/forms/models.py,django/forms/models.py,38,38,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,59,right_file_distance_gt_10,False
static,django__django-13315,5,django/forms/models.py,django/forms/models.py,85,85,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,12,right_file_distance_gt_10,False
static,django__django-13315,6,django/forms/models.py,django/forms/models.py,142,142,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,36,right_file_distance_gt_10,False
static,django__django-13315,7,django/forms/models.py,django/forms/models.py,318,318,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,212,right_file_distance_gt_10,False
static,django__django-13315,8,django/forms/models.py,django/forms/models.py,431,431,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,325,right_file_distance_gt_10,False
static,django__django-13315,9,django/forms/models.py,django/forms/models.py,454,454,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,348,right_file_distance_gt_10,False
static,django__django-13315,10,django/forms/models.py,django/forms/models.py,455,455,medium,W0212: Access to a protected member _state of a client class,True,site-0001,349,right_file_distance_gt_10,False
static,django__django-13315,11,django/forms/models.py,django/forms/models.py,465,465,medium,W0201: Attribute 'save_m2m' defined outside __init__,True,site-0001,359,right_file_distance_gt_10,False
static,django__django-13315,12,django/forms/models.py,django/forms/models.py,583,583,medium,W0201: Attribute '_object_dict' defined outside __init__,True,site-0001,477,right_file_distance_gt_10,False
static,django__django-13315,13,django/forms/models.py,django/forms/models.py,599,599,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,493,right_file_distance_gt_10,False
static,django__django-13315,14,django/forms/models.py,django/forms/models.py,607,607,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,501,right_file_distance_gt_10,False
static,django__django-13315,15,django/forms/models.py,django/forms/models.py,626,626,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,520,right_file_distance_gt_10,False
static,django__django-13315,16,django/forms/models.py,django/forms/models.py,634,634,medium,W0212: Access to a protected member _default_manager of a client class,True,site-0001,528,right_file_distance_gt_10,False
static,django__django-13315,17,django/forms/models.py,django/forms/models.py,640,640,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,534,right_file_distance_gt_10,False
static,django__django-13315,18,django/forms/models.py,django/forms/models.py,645,645,medium,W0201: Attribute '_queryset' defined outside __init__,True,site-0001,539,right_file_distance_gt_10,False
static,django__django-13315,19,django/forms/models.py,django/forms/models.py,652,652,medium,W0613: Unused argument 'instance',True,site-0001,546,right_file_distance_gt_10,False
static,django__django-13315,20,django/forms/models.py,django/forms/models.py,667,667,medium,W0201: Attribute 'saved_forms' defined outside __init__,True,site-0001,561,right_file_distance_gt_10,False
claude-sonnet-4-5,django__django-13551,1,django/contrib/auth/tokens.py,django/contrib/auth/tokens.py,104,104,medium,datetime.now() returns naive datetime which may cause issues when comparing with timezone-aware last_login field.,True,site-0002,4,right_file_distance_4_to_10,False
gpt-4o-mini,django__django-13551,1,django/contrib/auth/tokens.py,django/contrib/auth/tokens.py,14,14,high,"The 'algorithm' attribute is initialized to None, which may lead to security vulnerabilities if not properly set.",True,site-0001,64,right_file_distance_gt_10,False
gpt-4o-mini,django__django-13551,2,django/contrib/auth/tokens.py,django/contrib/auth/tokens.py,15,15,high,"The 'secret' attribute is initialized to None, which may lead to security vulnerabilities if not properly set.",True,site-0001,63,right_file_distance_gt_10,False
gpt-4o-mini,django__django-13551,3,django/contrib/auth/tokens.py,django/contrib/auth/tokens.py,21,21,medium,The algorithm is set to a potentially insecure default if settings.DEFAULT_HASHING_ALGORITHM is not defined.,True,site-0001,57,right_file_distance_gt_10,False
gpt-4o-mini,django__django-13551,4,django/contrib/auth/tokens.py,django/contrib/auth/tokens.py,60,60,medium,"The PASSWORD_RESET_TIMEOUT setting is used without validation, which could lead to unexpected behavior if misconfigured.",True,site-0001,18,right_file_distance_gt_10,False
claude-sonnet-4-5,django__django-14382,1,django/core/management/templates.py,django/core/management/templates.py,1,1,medium,The 'cgi' module is deprecated since Python 3.11 and removed in Python 3.13.,True,site-0001,72,right_file_distance_gt_10,False
claude-sonnet-4-5,django__django-14382,2,django/core/management/templates.py,django/core/management/templates.py,270,270,low,Using string split on path assumes Unix-style separators but should use os.path.basename.,True,site-0001,189,right_file_distance_gt_10,False
gpt-4o-mini,django__django-14382,1,django/core/management/templates.py,django/core/management/templates.py,72,72,high,Raising CommandError with a generic exception message can expose sensitive information.,True,site-0001,1,right_file_distance_1_to_3,True
gpt-4o-mini,django__django-14382,2,django/core/management/templates.py,django/core/management/templates.py,80,80,high,Raising CommandError with a generic exception message can expose sensitive information.,True,site-0001,0,right_file_distance_0,True
gpt-4o-mini,django__django-14382,3,django/core/management/templates.py,django/core/management/templates.py,146,151,medium,CommandError message may not clearly indicate the nature of the conflict.,True,site-0001,65,right_file_distance_gt_10,False
gpt-4o-mini,django__django-14382,4,django/core/management/templates.py,django/core/management/templates.py,168,174,medium,Ignoring OSError without proper handling may lead to silent failures.,True,site-0001,87,right_file_distance_gt_10,False
gpt-4o-mini,django__django-14382,5,django/core/management/templates.py,django/core/management/templates.py,321,321,high,Raising CommandError with a generic exception message can expose sensitive information.,True,site-0001,240,right_file_distance_gt_10,False
static,django__django-14382,1,django/core/management/templates.py,django/core/management/templates.py,59,59,medium,W0201: Attribute 'app_or_project' defined outside __init__,True,site-0001,14,right_file_distance_gt_10,False
static,django__django-14382,2,django/core/management/templates.py,django/core/management/templates.py,60,60,medium,W0201: Attribute 'a_or_an' defined outside __init__,True,site-0001,13,right_file_distance_gt_10,False
static,django__django-14382,3,django/core/management/templates.py,django/core/management/templates.py,61,61,medium,W0201: Attribute 'paths_to_remove' defined outside __init__,True,site-0001,12,right_file_distance_gt_10,False
static,django__django-14382,4,django/core/management/templates.py,django/core/management/templates.py,62,62,medium,W0201: Attribute 'verbosity' defined outside __init__,True,site-0001,11,right_file_distance_gt_10,False
static,django__django-14382,5,django/core/management/templates.py,django/core/management/templates.py,72,72,medium,"B904: Within an `except` clause, raise exceptions with `raise ... from err` or `raise ... from None` to distinguish them from errors in exception handling",True,site-0001,1,right_file_distance_1_to_3,True
static,django__django-14382,6,django/core/management/templates.py,django/core/management/templates.py,72,72,medium,"W0707: Consider explicitly re-raising using 'except FileExistsError as exc' and 'raise CommandError(""'%s' already exists"" % top_dir) from exc'",True,site-0001,1,right_file_distance_1_to_3,True
static,django__django-14382,7,django/core/management/templates.py,django/core/management/templates.py,74,74,medium,"B904: Within an `except` clause, raise exceptions with `raise ... from err` or `raise ... from None` to distinguish them from errors in exception handling",True,site-0001,0,right_file_distance_0,True
static,django__django-14382,8,django/core/management/templates.py,django/core/management/templates.py,74,74,medium,W0707: Consider explicitly re-raising using 'raise CommandError(e) from e',True,site-0001,0,right_file_distance_0,True
static,django__django-14382,9,django/core/management/templates.py,django/core/management/templates.py,267,268,medium,"B904: Within an `except` clause, raise exceptions with `raise ... from err` or `raise ... from None` to distinguish them from errors in exception handling",True,site-0001,186,right_file_distance_gt_10,False
static,django__django-14382,10,django/core/management/templates.py,django/core/management/templates.py,267,268,medium,"W0707: Consider explicitly re-raising using 'raise CommandError(""couldn't download URL %s to %s: %s"" % (url, filename, e)) from e'",True,site-0001,186,right_file_distance_gt_10,False
static,django__django-14382,11,django/core/management/templates.py,django/core/management/templates.py,322,323,medium,"B904: Within an `except` clause, raise exceptions with `raise ... from err` or `raise ... from None` to distinguish them from errors in exception handling",True,site-0001,241,right_file_distance_gt_10,False
static,django__django-14382,12,django/core/management/templates.py,django/core/management/templates.py,322,323,medium,"W0707: Consider explicitly re-raising using 'raise CommandError(""couldn't extract file %s to %s: %s"" % (filename, tempdir, e)) from e'",True,site-0001,241,right_file_distance_gt_10,False
claude-sonnet-4-5,django__django-16408,1,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,470,470,high,"Regex search result is accessed without checking if match exists, will raise AttributeError if no match found.",True,site-0001,804,right_file_distance_gt_10,False
claude-sonnet-4-5,django__django-16408,2,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,483,483,high,"Regex search result is accessed without checking if match exists, will raise AttributeError if no match found.",True,site-0001,791,right_file_distance_gt_10,False
static,django__django-16408,1,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,67,67,medium,W0201: Attribute 'col_count' defined outside __init__,True,site-0001,1207,right_file_distance_gt_10,False
static,django__django-16408,2,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,77,77,medium,W0201: Attribute 'where' defined outside __init__,True,site-0001,1197,right_file_distance_gt_10,False
static,django__django-16408,3,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,81,81,medium,W0201: Attribute 'has_extra_select' defined outside __init__,True,site-0001,1193,right_file_distance_gt_10,False
static,django__django-16408,4,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,155,155,medium,B007: Loop control variable `sql` not used within loop body,True,site-0001,1119,right_file_distance_gt_10,False
static,django__django-16408,5,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,518,518,medium,W0622: Redefining built-in 'all',True,site-0001,756,right_file_distance_gt_10,False
static,django__django-16408,6,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,638,638,medium,W0201: Attribute 'qualify' defined outside __init__,True,site-0001,636,right_file_distance_gt_10,False
static,django__django-16408,7,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,891,891,medium,B007: Loop control variable `index` not used within loop body,True,site-0001,383,right_file_distance_gt_10,False
static,django__django-16408,8,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,891,891,medium,W0612: Unused variable 'index',True,site-0001,383,right_file_distance_gt_10,False
static,django__django-16408,9,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,944,944,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,330,right_file_distance_gt_10,False
static,django__django-16408,10,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,953,953,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,321,right_file_distance_gt_10,False
static,django__django-16408,11,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,1137,1137,medium,W0212: Access to a protected member _filtered_relations of a client class,True,site-0001,137,right_file_distance_gt_10,False
static,django__django-16408,12,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,1164,1164,medium,W0622: Redefining built-in 'next',True,site-0001,110,right_file_distance_gt_10,False
static,django__django-16408,13,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,1198,1198,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,76,right_file_distance_gt_10,False
static,django__django-16408,14,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,1207,1207,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,67,right_file_distance_gt_10,False
static,django__django-16408,15,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,1253,1253,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,21,right_file_distance_gt_10,False
static,django__django-16408,16,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,1264,1264,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,10,right_file_distance_4_to_10,False
static,django__django-16408,17,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,1284,1284,medium,W0212: Access to a protected member _filtered_relations of a client class,True,site-0001,5,right_file_distance_4_to_10,False
static,django__django-16408,18,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,1308,1308,medium,W0212: Access to a protected member _meta of a client class,True,site-0002,7,right_file_distance_4_to_10,False
static,django__django-16408,19,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,1319,1319,medium,W0212: Access to a protected member _meta of a client class,True,site-0002,18,right_file_distance_gt_10,False
static,django__django-16408,20,django/db/models/sql/compiler.py,django/db/models/sql/compiler.py,1346,1346,medium,W0212: Access to a protected member _meta of a client class,True,site-0002,45,right_file_distance_gt_10,False
claude-sonnet-4-5,django__django-16816,1,django/contrib/admin/checks.py,django/contrib/admin/checks.py,1000,1000,medium,Using issubclass without _issubclass wrapper can raise TypeError if item is not a class.,True,site-0001,76,right_file_distance_gt_10,False
gpt-4o-mini,django__django-16816,1,django/contrib/admin/checks.py,django/contrib/admin/checks.py,138,138,high,The check for 'AuthenticationMiddleware' does not account for the possibility of it being a subclass.,True,site-0001,778,right_file_distance_gt_10,False
gpt-4o-mini,django__django-16816,2,django/contrib/admin/checks.py,django/contrib/admin/checks.py,148,148,high,The check for 'MessageMiddleware' does not account for the possibility of it being a subclass.,True,site-0001,768,right_file_distance_gt_10,False
gpt-4o-mini,django__django-16816,3,django/contrib/admin/checks.py,django/contrib/admin/checks.py,158,158,high,The check for 'SessionMiddleware' does not account for the possibility of it being a subclass.,True,site-0001,758,right_file_distance_gt_10,False
static,django__django-16816,1,django/contrib/admin/checks.py,django/contrib/admin/checks.py,46,46,medium,W0613: Unused argument 'kwargs',True,site-0001,870,right_file_distance_gt_10,False
static,django__django-16816,2,django/contrib/admin/checks.py,django/contrib/admin/checks.py,55,55,medium,W0613: Unused argument 'kwargs',True,site-0001,861,right_file_distance_gt_10,False
static,django__django-16816,3,django/contrib/admin/checks.py,django/contrib/admin/checks.py,177,177,medium,W0613: Unused argument 'kwargs',True,site-0001,739,right_file_distance_gt_10,False
static,django__django-16816,4,django/contrib/admin/checks.py,django/contrib/admin/checks.py,224,224,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,692,right_file_distance_gt_10,False
static,django__django-16816,5,django/contrib/admin/checks.py,django/contrib/admin/checks.py,237,237,medium,W0212: Access to a protected member _registry of a client class,True,site-0001,679,right_file_distance_gt_10,False
static,django__django-16816,6,django/contrib/admin/checks.py,django/contrib/admin/checks.py,290,290,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,626,right_file_distance_gt_10,False
static,django__django-16816,7,django/contrib/admin/checks.py,django/contrib/admin/checks.py,438,438,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,478,right_file_distance_gt_10,False
static,django__django-16816,8,django/contrib/admin/checks.py,django/contrib/admin/checks.py,446,446,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,470,right_file_distance_gt_10,False
static,django__django-16816,9,django/contrib/admin/checks.py,django/contrib/admin/checks.py,526,526,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,390,right_file_distance_gt_10,False
static,django__django-16816,10,django/contrib/admin/checks.py,django/contrib/admin/checks.py,561,561,medium,W0212: Access to a protected member _meta of a client class,True,site-0001,355,right_file_distance_gt_10,False
